Topology,Label,Density,VF,GSA,LCD,PLD,GAV,∆∆A_total,∆∆A_total_err,Source,U_0K
sod,3D,,,,,,,,,,89.323
sow,3D,,,,,,,,,,100.313
sra,3D,,,,,,,,,,110.756
srb,3D,,,,,,,,,,76.746
thj,3D,,,,,,,,,,76.867
tpd,3D,,,,,,,,,,112.289
tsja,3D,,,,,,,,,,68.076
tzs,3D,,,,,,,,,,124.775
ucn,3D,,,,,,,,,,76.733
umb,3D,,,,,,,,,,80.003
umc,3D,,,,,,,,,,83.862
umd,3D,,,,,,,,,,79.363
umf,3D,,,,,,,,,,74.460
umi,3D,,,,,,,,,,84.231
umk,3D,,,,,,,,,,122.497
umm,3D,,,,,,,,,,66.213
umo,3D,,,,,,,,,,91.914
umq,3D,,,,,,,,,,106.846
umw,3D,,,,,,,,,,80.509
umx,3D,,,,,,,,,,75.557
umy,3D,,,,,,,,,,85.963
umz,3D,,,,,,,,,,79.413
una,3D,,,,,,,,,,129.032
unc,3D,,,,,,,,,,114.474
und,3D,,,,,,,,,,130.445
une,3D,,,,,,,,,,91.175
unf,3D,,,,,,,,,,93.316
unh,3D,,,,,,,,,,115.022
uni,3D,,,,,,,,,,119.778
unj,3D,,,,,,,,,,119.607
unm,3D,,,,,,,,,,71.657
unn,3D,,,,,,,,,,79.348
unp,3D,,,,,,,,,,84.861
unv,3D,,,,,,,,,,78.525
unw,3D,,,,,,,,,,72.344
uob,3D,,,,,,,,,,79.306
uoc,3D,,,,,,,,,,90.517
uog,3D,,,,,,,,,,80.068
uoj,3D,,,,,,,,,,88.939
uol,3D,,,,,,,,,,92.787
uoo,3D,,,,,,,,,,85.385
uoq,3D,,,,,,,,,,121.261
uot,3D,,,,,,,,,,108.009
uou,3D,,,,,,,,,,119.173
uov,3D,,,,,,,,,,81.464
uow,3D,,,,,,,,,,99.265
uox,3D,,,,,,,,,,90.170
uoz,3D,,,,,,,,,,90.709
upa,3D,,,,,,,,,,69.072
upb,3D,,,,,,,,,,66.755
upc,3D,,,,,,,,,,70.378
ure,3D,,,,,,,25.924,8.204,,52.284
wje,3D,,,,,,,,,,85.078
wjf,3D,,,,,,,,,,121.110
wjg,3D,,,,,,,,,,63.263
wjh,3D,,,,,,,,,,104.521
wji,3D,,,,,,,,,,90.010
wut,3D,,,,,,,,,,73.510
xbya,3D,,,,,,,29.281,8.19,,60.096
yug,3D,,,,,,,,,,103.711
zni,3D,,,,,,,,,,92.268
zsn,3D,,,,,,,,,,86.607
afwa,3D,,,,,,,,,,63.962
afx,3D,,,,,,,,,,121.363
ana,3D,,,,,,,,,,104.501
anaa,3D,,,,,,,,,,80.483
ast,3D,,,,,,,,,,100.543
ato,3D,,,,,,,,,,114.272
bag,3D,,,,,,,,,,63.832
bah,3D,,,,,,,,,,62.890
baj,3D,,,,,,,,,,65.477
bak,3D,,,,,,,,,,76.300
bam,3D,,,,,,,,,,96.226
ban,3D,,,,,,,,,,76.723
baq,3D,,,,,,,,,,65.095
bar,3D,,,,,,,,,,77.426
bas,3D,,,,,,,,,,103.577
bat,3D,,,,,,,,,,90.900
baw,3D,,,,,,,,,,72.623
bax,3D,,,,,,,,,,69.408
bby,3D,,,,,,,,,,103.919
bbz,3D,,,,,,,,,,120.389
bca,3D,,,,,,,,,,98.536
bcj,3D,,,,,,,,,,74.201
bcq,3D,,,,,,,,,,102.719
bcut,3D,,,,,,,,,,68.261
bcv,3D,,,,,,,,,,71.966
bcy,3D,,,,,,,,,,91.012
bcz,3D,,,,,,,,,,100.983
bnnt,3D,,,,,,,,,,94.872
bzd,3D,,,,,,,,,,100.167
cald,3D,,,,,,,,,,118.120
cbd,3D,,,,,,,,,,99.705
cfd,3D,,,,,,,,,,107.463
cha,3D,,,,,,,,,,116.762
cla,3D,,,,,,,,,,110.088
cmc,3D,,,,,,,,,,99.308
cssa,3D,,,,,,,19.244,8.204,,45.651
ctta,3D,,,,,,,,,,68.424
dtc,3D,,,,,,,,,,126.050
dtd,3D,,,,,,,,,,93.961
eab,3D,,,,,,,,,,132.651
edp,3D,,,,,,,,,,83.179
eri,3D,,,,,,,,,,107.644
eyea,3D,,,,,,,,,,91.271
flua,3D,,,,,,,,,,65.736
fsia,3D,,,,,,,,,,75.266
ftc,3D,,,,,,,,,,114.937
ftf,3D,,,,,,,,,,114.298
ftg,3D,,,,,,,,,,92.711
fth,3D,,,,,,,,,,92.429
fti,3D,,,,,,,,,,86.168
ftj,3D,,,,,,,,,,112.697
ftm,3D,,,,,,,,,,82.008
ftr,3D,,,,,,,,,,67.791
ftv,3D,,,,,,,,,,68.649
ftwt,3D,,,,,,,,,,70.654
fty,3D,,,,,,,,,,63.970
ftz,3D,,,,,,,,,,73.185
fua,3D,,,,,,,,,,104.402
fub,3D,,,,,,,,,,69.795
fue,3D,,,,,,,,,,79.055
fuf,3D,,,,,,,,,,91.475
fug,3D,,,,,,,,,,71.282
fuh,3D,,,,,,,,,,87.099
fuj,3D,,,,,,,,,,89.701
ful,3D,,,,,,,,,,73.630
fun,3D,,,,,,,,,,100.305
fuo,3D,,,,,,,,,,90.104
fur,3D,,,,,,,,,,90.289
fus,3D,,,,,,,,,,94.915
fut,3D,,,,,,,,,,70.179
fuu,3D,,,,,,,,,,75.182
fuy,3D,,,,,,,,,,88.792
fuz,3D,,,,,,,,,,95.086
fva,3D,,,,,,,,,,131.409
fvc,3D,,,,,,,,,,110.729
fvd,3D,,,,,,,,,,107.308
fvf,3D,,,,,,,,,,80.370
fvh,3D,,,,,,,,,,119.557
fvi,3D,,,,,,,,,,119.093
fvj,3D,,,,,,,,,,113.822
fvl,3D,,,,,,,,,,98.414
fvm,3D,,,,,,,,,,98.742
fvo,3D,,,,,,,,,,110.411
fvq,3D,,,,,,,,,,101.698
fvr,3D,,,,,,,,,,105.539
fvs,3D,,,,,,,,,,89.655
fvt,3D,,,,,,,,,,150.571
fvv,3D,,,,,,,,,,86.676
fwz,3D,,,,,,,,,,101.861
gcd,3D,,,,,,,,,,101.099
gie,3D,,,,,,,,,,84.676
hal,3D,,,,,,,,,,72.875
heaa,3D,,,,,,,,,,78.601
ict,3D,,,,,,,,,,112.364
isa,3D,,,,,,,,,,82.128
ise,3D,,,,,,,,,,121.547
