,Topology,Label,Density,VF,GSA,LCD,PLD,GAV,∆∆A_total,∆∆A_total_err,Source,U_0K
200,uoq,3D,0.387232,0.54294,3697.59,29.21463,25.54595,1.4021,,,,135.047
201,uot,3D,0.417235,0.5144,3550.4,23.00476,14.58528,1.23288,,,,138.095
202,uou,3D,0.374625,0.54048,4124.19,17.46544,13.42307,1.44272,,,,171.514
203,uov,3D,0.475529,0.47176,3158.31,17.6273,14.91285,0.992074,,,,121.385
204,uow,3D,0.413625,0.52612,3531.04,20.30769,17.41521,1.27197,,,,139.241
205,uox,3D,0.394918,0.52724,3961.87,18.66991,11.26044,1.33506,,,,150.952
206,uoz,3D,0.398835,0.51926,4000.5,18.76367,14.98827,1.30194,,,,157.672
207,upa,3D,0.562284,0.38436,2769.06,15.81157,10.8485,0.683569,,,,123.53
208,upb,3D,0.503154,0.47734,2621.07,16.81252,13.06124,0.948696,,,,106.043
209,upc,3D,0.736501,0.26632,1862.63,15.6254,8.58381,0.361601,,,,205.533
210,ure,3D,1.2055,0,0,6.25647,3.09131,0,25.47801979,8.262808239,,85.711
211,wje,3D,0.475664,0.44984,3450.98,16.1631,12.03202,0.945709,,,,138.244
212,wjf,3D,0.389026,0.5555,3536.77,22.74967,20.12743,1.42793,,,,145.055
213,wjg,3D,0.786368,0.21038,1988.85,11.71666,9.07053,0.267534,,,,95.948
214,wjh,3D,0.287469,0.66232,3615.76,40.38287,37.77417,2.30397,,,,149.719
215,wji,3D,0.399286,0.53486,3530.19,26.49226,24.90483,1.33954,,,,135.178
216,wut,3D,0.609255,0.32892,2956.61,11.9367,9.16962,0.539872,,,,120.712
217,xbya,3D,0.400392,0.61006,2369.92,26.64009,21.88281,1.52366,31.47945637,8.191404031,,95.519
218,yug,3D,0.330476,0.60966,3856.82,24.54493,21.31929,1.8448,,,,155.572
219,zni,3D,0.680034,0.25038,2645.07,13.16541,10.55766,0.368188,,,,117.98
220,zsn,3D,0.426288,0.49098,3823.72,18.25297,14.58159,1.15176,,,,129.745
221,afwa,3D,0.293022,0.69838,2831.08,32.40005,24.00268,2.38337,,,,103.409
