,Topology,Label,Density,VF,GSA,LCD,PLD,GAV,∆∆A_total,∆∆A_total_err,Source,U_0K
356,uky,3D,0.452074,0.46834,2803.49,24.81557,17.9012,1.03598,,,,170.554
357,ulg,3D,0.347975,0.62174,2480.04,36.3641,25.29258,1.78674,,,,149.832
358,ulh,3D,0.575035,0.4311,1660.58,25.2078,18.33848,0.749694,24.359,8.194,,136.341
359,uli,3D,0.38019,0.56386,2976.98,25.20299,16.90733,1.4831,,,,156.654
360,ull,3D,0.446234,0.42156,3878.41,26.56903,10.89919,0.944706,,,,209.217
361,uma,3D,0.456464,0.49116,2563.21,26.73817,20.59082,1.07601,,,,151.627
362,umg,3D,0.649792,0.31146,1881.86,19.46941,12.21629,0.479323,,,,148.439
363,uml,3D,0.446247,0.51432,2158.73,30.4444,27.80524,1.15254,,,,154.824
364,umn,3D,0.365649,0.56524,3023.26,32.28104,28.55616,1.54586,,,,174.636
365,umr,3D,0.368885,0.53468,3652.1,26.0382,21.88523,1.44945,,,,203.533
366,ums,3D,0.394815,0.51108,3430.93,28.22227,25.01691,1.29448,,,,186.965
367,umu,3D,0.378482,0.51954,3648.28,26.60705,19.66784,1.37269,,,,207.534
368,umv,3D,0.432338,0.47246,3312.8,21.80279,16.19941,1.0928,,,,180.341
369,unb,3D,0.444695,0.42892,3823.77,20.94562,12.49517,0.964527,,,,200.583
370,ung,3D,0.409836,0.50076,3042.09,27.31543,24.562,1.22185,,,,178.192
371,unl,3D,0.523659,0.33602,3531.76,13.94445,10.18549,0.641678,,,,197.81
372,unr,3D,0.461593,0.488,2719.62,22.35378,14.60952,1.05721,,,,145.212
373,uns,3D,0.555084,0.32942,2994.95,18.33927,8.58488,0.59346,,,,173.753
374,unt,3D,0.60012,0.35584,1883.95,25.51377,14.55956,0.592948,,,,140.253
375,unu,3D,0.537648,0.35214,3232.59,12.77096,9.14264,0.654964,,,,166.524
376,uoa,3D,0.577056,0.35366,2460.33,19.2828,15.60172,0.61287,,,,150.767
377,uod,3D,0.489241,0.41822,3033.28,17.23234,13.25737,0.854834,,,,176.759
378,uoe,3D,0.578264,0.35888,2255.16,20.78727,17.59283,0.620616,,,,148.064
379,uof,3D,0.460773,0.44754,3154.04,17.67959,12.69508,0.971281,,,,192.896
380,uoh,3D,0.426667,0.4826,3328.78,21.89954,19.0809,1.13109,,,,185.082
381,uoi,3D,0.644398,0.3163,2019.06,17.16564,13.04053,0.490846,,,,141.239
382,uop,3D,0.689933,0.23412,2278.4,12.8588,8.13058,0.339337,,,,155.237
383,uos,3D,0.425403,0.44814,3928.63,17.72515,13.47744,1.05345,,,,202.388
384,vfi,3D,0.273729,0.65484,3773.2,55.03821,50.8383,2.39229,,,,203.274
385,wse,3D,0.321119,0.64994,2447.96,52.40713,22.54309,2.02398,,,,146.375
386,ykh,3D,0.399731,0.5668,2466.28,28.47061,21.67949,1.41795,,,,142.951
387,zeb,3D,0.299302,0.64282,3013.8,37.49521,29.98823,2.14773,,,,185.106
388,znp,3D,0.759068,0.254,1436.7,17.56723,10.91405,0.334621,,,,217.4
389,zrad,3D,0.380392,0.49576,4081.26,26.71217,10.89034,1.30329,,,,201.2
