Topology,Label,Density,VF,GSA,LCD,PLD,GAV,∆∆A_total,∆∆A_total_err,Source,U_0K
ums,3D,0.311,0.621,4272.99,24.507,11.277,1.995,73.509,N/A,Predicted,19.218
umu,3D,0.305,0.62,4536.91,16.655,11.588,2.031,87.36,N/A,Predicted,34.852
umv,3D,0.311,0.615,4540.85,28.357,21.65,1.975,86.193,N/A,Predicted,33.535
unb,3D,0.339,0.574,4717.66,60.37,57.42,1.696,92.177,N/A,Predicted,40.289
ung,3D,0.308,0.62,4411.12,29.153,21.42,2.014,77.709,N/A,Predicted,23.958
unl,3D,0.43,0.471,4477.13,111.187,109.618,1.095,74.749,N/A,Predicted,20.617
unr,3D,0.36,0.618,3037.39,18.601,14.926,1.714,37.254,N/A,Predicted,-21.704
uns,3D,0.489,0.429,3658.9,53.312,29.701,0.878,49.19,N/A,Predicted,-8.232
unt,3D,0.47,0.494,2896.85,32.281,20.789,1.052,37.858,N/A,Predicted,-21.023
unu,3D,0.426,0.5,4002.36,33.91,26.073,1.175,56.08,N/A,Predicted,-0.455
uoa,3D,0.432,0.52,3404.18,28.647,12.828,1.203,51.541,N/A,Predicted,-5.578
uod,3D,0.404,0.529,3781.58,30.545,14.385,1.31,61.042,N/A,Predicted,5.146
uoe,3D,0.455,0.485,3202.96,59.758,58.495,1.066,45.053,N/A,Predicted,-12.901
uof,3D,0.375,0.549,4144.72,23.766,13.77,1.464,75.358,N/A,Predicted,21.305
uoh,3D,0.353,0.582,4015.51,26.641,13.174,1.647,66.091,N/A,Predicted,10.845
uoi,3D,0.508,0.445,3021.76,51.303,17.189,0.876,41.651,N/A,Predicted,-16.741
uop,3D,0.512,0.394,3790.5,59.397,58.104,0.77,60.665,N/A,Predicted,4.72
uos,3D,0.322,0.593,4725.77,24.466,21.819,1.843,94.25,N/A,Predicted,42.629
vfi,3D,0.222,0.728,4385.21,20.582,15.663,3.284,81.882,N/A,Predicted,28.669
wse,3D,0.253,0.733,2759.35,55.121,53.133,2.902,39.959,N/A,Predicted,-18.651
ykh,3D,0.313,0.673,2955.05,100.694,59.392,2.152,37.276,N/A,Predicted,-21.68
zeb,3D,0.249,0.703,3970.1,25.18,17.124,2.823,66.901,N/A,Predicted,11.759
znp,3D,0.636,0.38,2113.69,45.345,31.366,0.597,53.285,N/A,Predicted,-3.61
zrad,3D,0.284,0.637,4776.87,26.154,12.796,2.245,94.667,N/A,Predicted,43.1
