Topology,Label,Density,VF,GSA,LCD,PLD,GAV,∆∆A_total,∆∆A_total_err,Source,U_0K
twfa,3D,0.417,0.552,3351.050,26.368,14.087,1.325,,,,75.722
ucw,3D,0.316,0.669,3050.990,59.526,23.801,2.117,,,,73.449
ukx,3D,0.461,0.528,2829.800,21.882,16.729,1.145,,,,105.324
uky,3D,0.376,0.581,3603.400,25.923,20.818,1.544,,,,92.246
ulg,3D,0.284,0.713,2912.240,37.508,28.808,2.506,,,,71.698
ulh,3D,0.468,0.574,1833.490,28.724,21.365,1.227,,,,64.297
uli,3D,0.331,0.660,2931.690,27.418,20.259,1.991,,,,70.104
ull,3D,0.433,0.506,3829.680,26.218,11.892,1.168,,,,151.07
uma,3D,0.378,0.608,2958.220,28.560,22.963,1.611,,,,121.253
umg,3D,0.536,0.460,2660.430,16.956,12.917,0.858,,,,107.108
uml,3D,0.368,0.601,3135.750,33.378,30.672,1.634,,,,82.388
umn,3D,0.302,0.662,3549.630,32.303,30.217,2.190,,,,95.509
umr,3D,0.306,0.642,4170.760,27.184,24.023,2.099,,,,121.183
ums,3D,0.332,0.622,3891.590,30.253,27.029,1.875,,,,101.115
umu,3D,0.340,0.608,4052.760,26.712,21.567,1.788,,,,106.704
umv,3D,0.349,0.596,4052.700,23.260,17.840,1.708,,,,104.966
unb,3D,0.371,0.560,4306.990,22.603,13.276,1.512,,,,115.86
ung,3D,0.331,0.616,3997.100,28.357,26.606,1.859,,,,105.554
unl,3D,0.457,0.469,3978.610,15.628,11.662,1.026,,,,103.43
unr,3D,0.380,0.624,2798.510,25.664,16.976,1.642,,,,63.813
uns,3D,0.454,0.483,3698.430,20.951,9.706,1.062,,,,99.499
unt,3D,0.492,0.495,2816.100,26.965,16.494,1.007,,,,70.643
unu,3D,0.469,0.482,3617.560,14.550,11.256,1.028,,,,80.494
uoa,3D,0.461,0.514,3137.580,22.050,18.714,1.115,,,,79.724
uod,3D,0.411,0.541,3584.680,18.718,15.208,1.317,,,,95.01
uoe,3D,0.474,0.496,3075.350,24.197,20.930,1.046,,,,75.589
uof,3D,0.410,0.537,3768.840,18.991,15.025,1.311,,,,98.105
uoh,3D,0.353,0.597,3847.100,24.522,20.483,1.688,,,,105.893
uoi,3D,0.490,0.476,3080.100,19.680,16.159,0.971,,,,88.196
uop,3D,0.553,0.395,3376.620,12.969,9.483,0.715,,,,98.144
uos,3D,0.356,0.578,4265.850,19.937,16.855,1.624,,,,115.392
vfi,3D,0.234,0.729,4053.520,59.201,55.994,3.119,,,,113.695
wse,3D,0.263,0.739,2571.140,54.904,27.335,2.813,,,,67.862
ykh,3D,0.326,0.679,2684.050,32.643,24.586,2.079,,,,64.3
zeb,3D,0.265,0.703,3648.060,38.585,32.766,2.652,,,,127.507
znp,3D,0.652,0.392,2026.030,20.295,16.106,0.601,,,,124.172
zrad,3D,0.295,0.642,4481.960,29.969,15.231,2.175,,,,130.354
